안나바, 알제리	라바 비타트 공항	AAE
도하, 카타르	Hamad Intl	DOH
도빌, 프랑스	Deauville Saint Gatien	DOL
도빌, 프랑스	듀빌생가티엔공항	DOL
Roseau, Dominica	Douglas–Charles	DOM
로조, DMA	더글라스 찰스 공항	DOM
로조, 도미니카	더글라스 찰스 공항	DOM
로조, 도미니카	Douglas–Charles	DOM
도우라도스, 브라질	도라두스 에어포트	DOU
둥잉, 중국	Dongying	DOY
디폴로그, 필리핀	Dipolog	DPL
디폴로그, 필리핀	디폴로그공항	DPL
데번포트, TAS, 호주	Devonport	DPO
데번포트, TAS, 호주	데번포트공항	DPO
덴파사르, 인도네시아	Bali Ngurah Rai	DPS
덴파사르, 인도네시아	Denpasar Intl	DPS
덴파사르, 인도네시아	응우라라이공항	DPS
덴파사르, 인도네시아	I Gusti Ngurah Rai Intl	DPS
Deputatsky, 러시아	Deputatsky	DPT
다칭, 중국	Daqing Shi	DQA
Deering, AK, 미국	디어링 에어포트	DRG
El Progreso, 코스타리카	Drake Bay	DRK
El Progreso, 코스타리카	드레이크 베이 에어포트	DRK
두랑고, CO, 미국	두란고라플라타카운티공항	DRO
두랑고, CO, 미국	Durango La Plata	DRO
드레스덴, 독일	Dresden Arpt	DRS
드레스덴, 독일	드레스덴공항	DRS
델 리오, TX, 미국	Del Rio Intl	DRT
델 리오, TX, 미국	델 리오 국제공항	DRT
다라반두, 몰디브	Dharavandhoo	DRV
다윈, NT, 호주	Darwin	DRW
다윈, NT, 호주	다윈 국제공항	DRW
동커스터, 영국	동커스터 셰필드 로빈 후드 공항	DSA
동커스터, 영국	Robin Hood Airport Doncaster Sheffield	DSA
Dessie, 에티오피아	Combolcha	DSE
데스틴, 플로리다주, 미국	Destin	DSI
데스틴, 플로리다주, 미국	데스틴 포트월턴공항	DSI
Dera Ismāīl Khān, 파키스탄	데라이스마일한 에어포트	DSK
Des Moines, Iowa	Des Moines	DSM
디모인, 아이오와주, 미국	Des Moines	DSM
디모인, 아이오와주, 미국	디모인 국제공항	DSM
Ikechao League, China	Ordos Ejin Horo	DSN
Ikhchao League, China	Ordos Ejin Horo	DSN
Yeghe Jo League, China	Ordos Ejin Horo	DSN
Yik'echao League, China	Ordos Ejin Horo	DSN
오르도스, 중국	Ordos Ejin Horo	DSN
Dakar, Senegal	Blaise Diagne	DSS
Hann, Senegal	Blaise Diagne	DSS
다카르, 세네갈	Blaise Diagne	DSS
Siborong-Borong, 인도네시아	Silangit	DTB
도르트문트, 독일	도르트문트 공항	DTM
Detroit, MI	All airports	DTT
디트로이트, MI, 미국	모든 공항	DTT
디트로이트 메트로공항	디트로이트, MI, 미국	DTW
디트로이트, MI, 미국	Detroit Metropolitan Wayne County	DTW
디트로이트, MI, 미국	디트로이트 메트로공항	DTW
더블린, Ireland	더블린국제공항	DUB
더블린, IRL	더블린국제공항	DUB
더블린, 아일랜드	더블린국제공항	DUB
더니든, 뉴질랜드	더니든국제공항	DUD
더니든, 뉴질랜드	Dunedin	DUD
뒤부아, PA, 미국	두보이스공항	DUJ
뒤부아, PA, 미국	Jefferson County	DUJ
더반, 남아프리카공화국	샤카 왕 국제공항	DUR
뒤셀도르프, 독일	Duesseldorf Intl	DUS
뒤셀도르프, 독일	모든 공항	DUS
Dutch Harbor, AK, 미국	우날래스카 에어포트	DUT
Dutch Harbor, AK, 미국	Emergency Field	DUT
안다바도아카, 마다가스카르	Andavadoaka	DVD
데블스 레이크, ND, 미국	Devils Lake	DVL
데블스 레이크, ND, 미국	데빌스레이크지역공항	DVL
Bunguyon, Philippines	Francisco Bangoy	DVO
다바오, 필리핀	Davao Intl	DVO
다바오, 필리핀	프란시스코 방고이 국제공항	DVO
두바이, 아랍에미리트	알막툼 국제공항	DWC
두바이, 아랍에미리트	Dubai World Central	DWC
알막툼 국제공항	두바이, 아랍에미리트	DWC
Dawadmi, 사우디아라비아	다와드미 도메스틱 에어포트	DWD
콜롬보, 스리랑카	Diyawanna Oya Seaplane Base	DWO
두바이, United Arab Emirates	모든 공항	DXB
두바이, 아랍에미리트	Dubai Intl	DXB
두바이, 아랍에미리트	모든 공항	DXB
매디슨, MS, 미국	브루스 켐벨 필드	DXE
장자제, 중국	Dayong	DYG
장자제, 중국	다용공항	DYG
장자제, 중국	Zhangjiajie	DYG
아나디리, 러시아	Anadyr	DYR
아나디리, 러시아	아나디리공항	DYR
두산베, TJK	두샨베 공항	DYU
두산베, 타지키스탄	Dushanbe	DYU
두산베, 타지키스탄	두샨베 공항	DYU
Dzaoudzi, 마요트	자우지 파만지 국제공항	DZA
Dzaoudzi, 마요트	Pamandzi	DZA
체츠카스간, 카자흐스탄	체츠카스간 에어포트	DZN
체츠카스간, 카자흐스탄	Zhezhazgan	DZN
Emae, 바누아투	Emae	EAE
Emae, 바누아투	Siwo	EAE
Najrān, Saudi Arabia	Nejran	EAM
나즈란, 사우디아라비아	나즈란 도메스틱 에어포트	EAM
나즈란, 사우디아라비아	Nejran	EAM
Basel, Switzerland	All airports	EAP
BSL, Switzerland	All airports	EAP
바젤, 스위스	모든 공항	EAP
키어니, NE, 미국	키아니지역공항	EAR
키어니, NE, 미국	Kearney	EAR
Donostia-San Sebastián, Spain	San Sebastián	EAS
산 세바스티안, 스페인	산세바스티안공항	EAS
산 세바스티안, 스페인	San Sebastián	EAS
Wenatchee, WA	Pangborn Field	EAT
위냇치, WA, 미국	팽본 메모리얼공항	EAT
오클레어, WI, 미국	Eau Claire	EAU
오클레어, WI, 미국	치페와밸리지역공항	EAU
캄포넬엘바, 이탈리아	마리나디캄포공항	EBA
엔테베, 우간다	엔테베 국제공항	EBB
엔테베, 우간다	Entebbe	EBB
Al-Ubayyid, Sudan	El Obeid	EBD
El Obeid, 수단	El Obeid	EBD
El Bayadh, 알제리	El Bayadh	EBH
에스비에르, 덴마크	에스비예르그공항	EBJ
에스비에르, 덴마크	Esbjerg	EBJ
Arbil, Iraq	Erbil Intl	EBL
Irbil, Iraq	Erbil Intl	EBL
아르빌, IRQ	아르빌 인터내셔널 에어포트	EBL
아르빌, 이라크	아르빌 인터내셔널 에어포트	EBL
아르빌, 이라크	Erbil Intl	EBL
생테티엔, 프랑스	Boutheon	EBU
생테티엔, 프랑스	생테티엔-부테옹 공항	EBU
생테티엔, 프랑스	Saint Etienne Boutheon	EBU
리바스, 니카라과	Costa Esmeralda	ECI
니코시아, 키프로스	에르칸 국제공항	ECN
니코시아, 키프로스	Ercan	ECN
니코시아, 키프로스	Lefkoşa (Nicosia)	ECN
파나마 시티, FL, 미국	노스웨스트 플로리다 비치 국제공항	ECP
Edna Bay, AK, 미국	Edna Bay	EDA
에든버러, 영국	에든버러공항	EDI
에든버러, 영국	Turnhouse	EDI
엘도레트, 케냐	엘도레트 국제공항	EDL
엘도레트, 케냐	Eldoret	EDL
에드리미트, 터키	에드레미트 코르페즈 에어포트	EDO
에드리미트, 터키	Edremit/Korfez	EDO
Edward River, QLD, 호주	Edward River	EDR
Eek, AK, 미국	에크 에어포트	EEK
Cefalonia, Greece	Cephalonia	EFL
아르고스톨리, 그리스	Argostolion	EFL
아르고스톨리, 그리스	Cephalonia	EFL
아르고스톨리, 그리스	케팔로니아아일래드국제공항	EFL
아르고스톨리, 그리스	Kefalonia Intl	EFL
베르주라크, 프랑스	Bergerac Dordogne Périgord	EGC
베르주라크, 프랑스	베르주라크-루마니에르 공항	EGC
베르주라크, 프랑스	Roumanieres	EGC
Vail, CO	Eagle County	EGE
배일, CO, 미국	Eagle County	EGE
배일, CO, 미국	이글카운티지역공항	EGE
Seghe, 솔로몬제도	세게 에어포트	EGM
Geneina, 수단	Geneina	EGN
벨고로트, 러시아	벨고르드 인터내셔널 에어포트	EGO
에질스타지르, 아이슬란드	Egilsstadir	EGS
에질스타지르, 아이슬란드	에글리스타드공항	EGS
Egegik, AK, 미국	에게직 에어포트	EGX
에인트호번, 네덜란드	아인트호벤공항	EIN
Road Town, British Virgin Islands	Beef Island	EIS
로드타운, 영국령 버진아일랜드	Beef Island	EIS
로드타운, 영국령 버진아일랜드	테런스 B. 렛섬국제공항	EIS
바랑카베르메하, 콜롬비아	야리기에스 에어포트	EJA
Al Wajh, Saudi Arabia	Wedjh	EJH
알 와지, 사우디아라비아	알 와지 도메스틱 에어포트	EJH
알 와지, 사우디아라비아	Wedjh	EJH
Dalaihubu, 중국	Ejin Banner Taolai	EJN
엘코, NV, 미국	엘코지역공항	EKO
엘코, NV, 미국	Elko	EKO
엘코 아일랜드, NT, 호주	Elcho Island	ELC
El Dorado, AR	Goodwin Field	ELD
엘 도라도, AR, 미국	사우스 아칸소 리저널 에어포트 앳 굿윈 필드	ELD
엘 도라도, AR, 미국	Goodwin Field	ELD
El Fasher, 수단	El Fasher	ELF
El Goléa, 알제리	El Golea	ELG
그레고리 타운, 바하마	North Eleuthera	ELH
그레고리 타운, 바하마	노스 엘레우테라 에어포트	ELH
Elim, AK, 미국	엘림 에어포트	ELI
엘미라, NY, 미국	엘미라코닝지역공항	ELM
엘패소, TX, 미국	엘패소 국제공항	ELP
Gassim, 사우디아라비아	카심 리저널 에어포트	ELQ
이스트런던, 남아프리카공화국	이스트런던공항	ELS
엘웨드, 알제리	Guemar	ELU
엘웨드, 알제리	El Oued	ELU
엘핀 코브, AK, 미국	Elfin Cove SPB	ELV
엘핀 코브, AK, 미국	엘핀 코브 시플레인 베이스	ELV
Nottingham, United Kingdom	East Midlands	EMA
노팅엄, 영국	East Midlands	EMA
노팅엄, 영국	이스트 미들랜즈 공항	EMA
에메랄드, QLD, 호주	에메랄드공항	EMD
에메랄드, QLD, 호주	Emerald	EMD
Emmonak, AK, 미국	에모나크 에어포트	EMK
케나이, AK, 미국	케나이시립공항	ENA
케나이, AK, 미국	Kenai	ENA
Ende, 인도네시아	H. 하산 아루부스만 에어포트	ENE
언스, 중국	언시공항	ENH
언스, 중국	Enshi	ENH
엘니도, 필리핀	엘니도 에어포트	ENI
엘니도, 필리핀	El Nido	ENI
에누구, 나이지리아	아카누 이비암 인터내셔널 에어포트	ENU
옌안, 중국	야난공항	ENY
메델린, 콜롬비아	Enrique Olaya	EOH
메델린, 콜롬비아	엔리케 올라야 에레라 에어포트	EOH
엔리케 올라야 에레라 에어포트	메델린, 콜롬비아	EOH
Eday, 영국	이데이 에어포트	EOI
엘 팔로마르 에어포트	엘 팔로마르, 아르헨티나	EPA
엘 팔로마르, 아르헨티나	엘 팔로마르 에어포트	EPA
에피날, 프랑스	미레쿠르 에어포트	EPL
에피날, 프랑스	Mirecourt	EPL
에스페란스, WA, 호주	에스페란스 에어포트	EPR
에스페란스, WA, 호주	Esperance	EPR
에스쿠엘, 아르헨티나	에스켈 에어포트	EQS
에스쿠엘, 아르헨티나	Esquel	EQS
에르진잔, 터키	에르진잔 에어포트	ERC
에르진잔, 터키	Erzincan	ERC
에르푸르트, 독일	에르푸르트 바이마르공항	ERF
에르푸르트, 독일	Erfurt-Weimar	ERF
Erbogachen, 러시아	예르보가첸 에어포트	ERG
Erbogachen, 러시아	Yerbogachen	ERG
Ksar Es Souk, Morocco	Errachidia	ERH
에라시디아, 모로코	물레이 알리 셰리프 에어포트	ERH
에라시디아, 모로코	Errachidia	ERH
이리, PA, 미국	이리 국제공항	ERI
얼롄하오터, 중국	Erenhot Saiwusu Intl	ERL
얼롄하오터, 중국	Saiwusu Intl	ERL
빈트후크, 나미비아	Eros	ERS
빈트후크, 나미비아	에로스공항	ERS
에르쥬럼, 터키	에르주룸공항	ERZ
앙카라, 터키	Ankara Esenboğa	ESB
앙카라, 터키	에센보아 국제공항	ESB
앙카라, 터키	Esenboga	ESB
에스커나바, MI, 미국	에스카나바공항	ESC
이스트사운드, WA, 미국	오르카스 아일랜드 에어포트	ESD
이스트사운드, WA, 미국	Orcas Island	ESD
옐리스타, 러시아	Elista	ESL
옐리스타, 러시아	옐리스타 에어포트	ESL
에스메랄다스, 에콰도르	콜로넬 카를로스 콘차 토레스 에어포트	ESM
에사우이라, 모로코	Essaouira	ESU
에사우이라, 모로코	에사우이라 에어포트	ESU
에일랏, 이스라엘	Ilan and Assaf Ramon Intl	ETM
에일랏, 이스라엘	Eilat-Ramon	ETM
에일랏, 이스라엘	Ramon Intl	ETM
Santa Rosa, 에콰도르	Regional	ETR
메스, 프랑스	메츠낭시로라인공항	ETZ
메스, 프랑스	Metz-Nancy-Lorraine	ETZ
유진, OR, 미국	유진공항	EUG
El-Aaiun, Western Sahara	Hassan I	EUN
Laayoune, Western Sahara	Hassan I	EUN
엘아윤, ESH	하산 1세 공항	EUN
엘아윤, 서사하라	하산 1세 공항	EUN
엘아윤, 서사하라	Hassan I	EUN
산 호세 데 부에나비스타, 필리핀	에벨리오 하비에르 에어포트	EUQ
산 호세 데 부에나비스타, 필리핀	Evelio Javier	EUQ
Oranjestad, 보나이러	FD 루즈벨트 에어포트	EUX
Oranjestad, 보나이러	F.D. Roosevelt	EUX
Narvik, Norway	Evenes	EVE
나르비크, 노르웨이	에벤스하스타드/나르빅공항	EVE
Sveg, 스웨덴	스베그 에어포트	EVG
예레반, 아르메니아	Erevan	EVN
예레반, 아르메니아	즈바르트노츠 국제공항	EVN
예레반, 아르메니아	Yerevan	EVN
예레반, 아르메니아	Zvartnots Intl	EVN
Evansville, IN	Dress Regional	EVV
에번즈빌, IN, 미국	Dress Regional	EVV
에번즈빌, IN, 미국	드레스 리저널공항	EVV
에번즈빌, IN, 미국	Dress Rgnl	EVV
뉴 베드포드, 매사추세츠주, 미국	New Bedford Regional	EWB
뉴 베드포드, 매사추세츠주, 미국	뉴 베드퍼드 리저널 에어포트	EWB
뉴 베른, NC, 미국	코스털 캐롤라이나 리저널 에어포트	EWN
뉴 베른, NC, 미국	Simmons Nott	EWN
뉴어크, NJ, 미국	뉴어크국제공항	EWR
뉴어크, NJ, 미국	Newark Liberty	EWR
뉴어크국제공항	뉴어크, NJ, 미국	EWR
엑스커션 인렛, AK, 미국	Excursion Inlet Seaplane Base	EXI
엑스커션 인렛, AK, 미국	SPB	EXI
엑서터, 영국	Exeter	EXT
엑서터, 영국	엑세터 국제공항	EXT
벨로야르스키, 러시아	Beloyarsk	EYK
요팔, 콜롬비아	엘 알카라반 에어포트	EYP
요팔, 콜롬비아	El Yopal	EYP
키웨스트, FL, 미국	키웨스트 국제공항	EYW
키웨스트, FL, 미국	Key West	EYW
미니스트로피스타리니국제공항	부에노스아이레스, 아르헨티나	EZE
부에노스아이레스, 아르헨티나	미니스트로피스타리니국제공항	EZE
부에노스아이레스, 아르헨티나	Ministro Pistarini	EZE
엘라지, 터키	Elazig	EZS
엘라지, 터키	엘라지 에어포트	EZS
Beryozovo, 러시아	Berezovo	EZV
Faaite, 프랑스령 폴리네시아	Faaite	FAC
Sorvagur, Faroe Islands	Vágar	FAE
쇠보구르, 페로 제도	보가르공항	FAE
Farah, 아프가니스탄	파라 에어포트	FAH
페어뱅크스, AK, 미국	페어뱅크스 국제공항	FAI
파루, 포르투갈	Faro Algarve	FAO
파루, 포르투갈	파루국제공항	FAO
파루, 포르투갈	Faro	FAO
파고, 노스다코타, 미국	헥터 국제공항	FAR
파고, 노스다코타, 미국	Hector Field	FAR
프레즈노, CA, 미국	프레즈노 요세미티 국제공항	FAT
프레즈노, CA, 미국	Fresno Yosemite	FAT
파카라바, 프랑스령 폴리네시아	Fakarava	FAV
파이에트빌, NC, 미국	페이엇빌지역공항	FAY
Faizabad, 아프가니스탄	파이자바드 에어포트	FBD
Faizabad, 아프가니스탄	Fayzabad	FBD
Lubumbashi, Democratic Republic of the Congo	Luano	FBM
루붐바시, 콩고민주공화국	루붐바시 국제공항	FBM
루붐바시, 콩고민주공화국	Luano	FBM
프라이데이 하버, WA, 미국	Friday Harbor SPB	FBS
칼리스펠, MT, 미국	글레이셔파크국제공항	FCA
칼리스펠, MT, 미국	Glacier Park	FCA
로마, 이탈리아	피우미치노공항	FCO
로마, 이탈리아	Fiumicino	FCO
로마, 이탈리아	Leonardo da Vinci–Fiumicino	FCO
피우미치노공항	로마, 이탈리아	FCO
Foerde, Norway	Bringeland	FDE
포데, 노르웨이	포르데 에어포트 브링엘란	FDE
Poste Colon, Martinique	Lamentin	FDF
포르 드 프랑스, MTQ	마르티니크 에메세제르국제공항	FDF
포르 드 프랑스, 마르티니크	Martinique Aimé Césaire Intl	FDF
포르 드 프랑스, 마르티니크	마르티니크 에메세제르국제공항	FDF
포르 드 프랑스, 마르티니크	Lamentin	FDF
프리드리히스하펜, 독일	프리드리히스하펜 공항	FDH
프리드리히스하펜, 독일	Friedrichshafen	FDH
프레더릭, MD, 미국	프레더릭 뮤니시플 에어포트 메릴랜드	FDK
페이라 데 산타나, 브라질	Feira De Santana	FEC
페르가나, 우즈베키스탄	페르가나 인터내셔널 에어포트	FEG
페르난도 데 노로냐, 브라질	페르난두지노로냐 에어포트	FEN
페스, 모로코	Fes-Sais	FEZ
페스, 모로코	페스 사이스공항	FEZ
킨샤사, 콩고민주공화국	은질리 공항	FIH
카를스루헤, 독일	Karlsruhe/Baden-Baden	FKB
카를스루헤, 독일	바덴공항	FKB
키상가니, 콩고민주공화국	방고카 국제공항	FKI
프랭클린, PA, 미국	프랭클린공항	FKL
Fakfak, 인도네시아	팍파크 에어포트	FKQ
후쿠시마, 일본	후쿠시마공항	FKS
후쿠시마, 일본	Fukushima	FKS
플로렌시아, 콜롬비아	구스타보 아르툰두아가 파레데스 에어포트	FLA
플래그스태프, AZ, 미국	Flagstaff Pulliam	FLG
플래그스태프, AZ, 미국	풀리암필드공항	FLG
포트로더데일, FL, 미국	할리우드국제공항	FLL
포트로더데일, FL, 미국	Fort Lauderdale	FLL
Cachoeira do Bom Jesus, Brazil	Hercilio Luz	FLN
Campeche, Brazil	Hercilio Luz	FLN
Florianopolis, Brazil	Hercilio Luz	FLN
Ilha de Santa Catarina, Brazil	Hercilio Luz	FLN
Ingleses do Rio Vermelho, Brazil	Hercilio Luz	FLN
Jurere, Brazil	Hercilio Luz	FLN
플로리아노폴리스, 브라질	에르실리오 루즈 국제공항	FLN
플로리아노폴리스, 브라질	Hercilio Luz	FLN
피렌체, SC, 미국	플로렌스공항	FLO
피렌체, 이탈리아	Amerigo Vespucci	FLR
피렌체, 이탈리아	Florence Peretola	FLR
피렌체, 이탈리아	페레톨라공항	FLR
피렌체, 이탈리아	Peretola	FLR
플라인더스 아일랜드, TAS, 호주	Flinders Island	FLS
플라인더스 아일랜드, TAS, 호주	플린더스 아일랜드 에어포트	FLS
Santa Cruz das Flores, Portugal	Santa Cruz	FLW
산타크루즈다스플로레스, 포르투갈	Santa Cruz	FLW
산타크루즈다스플로레스, 포르투갈	플로르스 에어포트	FLW
Sibolga, Indonesia	Ferdinand	FLZ
시볼가, 인도네시아	Ferdinand	FLZ
시볼가, 인도네시아	Ferdinand Lumban Tobing	FLZ
포르모사, 아르헨티나	포르모사 인터내셔널 에어포트	FMA
포르모사, 아르헨티나	El Pucu	FMA
Kalemie, 콩고민주공화국	칼레미에 에어포트	FMI
멤밍겐, 독일	멤밍엔 공항	FMM
파밍턴, NM, 미국	포 코너스 리저널 에어포트	FMN
뮌스터, 독일	뮌스터공항	FMO
뮌스터, 독일	Münster Osnabrück Intl	FMO
프리타운, Sierra Leone	룽기 국제공항	FNA
프리타운, 시에라리온	룽기 국제공항	FNA
프리타운, 시에라리온	Lungi Intl	FNA
푼샬, 포르투갈	Cristiano Ronaldo Intl	FNC
푼샬, 포르투갈	마데이라공항	FNC
푼샬, 포르투갈	Funchal	FNC
님, 프랑스	님아를레스카마주공항	FNI
님, 프랑스	Garons	FNI
님, 프랑스	Nimes Garons	FNI
평양, PRK	평양순안국제공항	FNJ
평양, 북한	평양순안국제공항	FNJ
평양, 북한	Pyongyang	FNJ
러브랜드, CO, 미국	포트콜린스러브랜드시립공항	FNL
러브랜드, CO, 미국	Fort Collins/Loveland	FNL
Flint, MI	Bishop	FNT
플린트, MI, 미국	Bishop	FNT
플린트, MI, 미국	비숍 국제공항	FNT
푸저우, 중국	푸저우 창러 국제공항	FOC
푸저우, 중국	Fuzhou	FOC
포트 다지, IA, 미국	Fort Dodge	FOD
포트 다지, IA, 미국	포트도지지역공항	FOD
포지아, 이탈리아	지노리사공항	FOG
포지아, 이탈리아	Gino Lisa	FOG
라포르투나, 코스타리카	포르투나공항	FON
포르탈레자, 브라질	핀투 마르틴스 국제공항	FOR
프리포트, 바하마	그랜드 바하마 국제공항	FPO
Frankfurt am Main, Germany	Frankfurt	FRA
프랑크푸르트암마인, DEU	프랑크푸르트공항	FRA
프랑크푸르트암마인, 독일	프랑크푸르트공항	FRA
프라이데이 하버, WA, 미국	프라이데이 하버 에어포트	FRD
프라이데이 하버, WA, 미국	Friday Harbor	FRD
Fera Island, 솔로몬제도	페라 에어포트	FRE
Farmingdale, NY	Republic Field	FRG
파밍데일, NY, 미국	리퍼블릭 에어포트	FRG
파밍데일, NY, 미국	Republic Field	FRG
플로로, 노르웨이	플로로 에어포트	FRO
플로레스, GTM	문도 마야 국제공항	FRS
플로레스, 과테말라	Santa Elena	FRS
플로레스, 과테말라	문도 마야 국제공항	FRS
비슈케크, KGZ	마나스 국제공항	FRU
비슈케크, Kyrgyzstan	마나스 국제공항	FRU
비슈케크, 키르기스스탄	Bishkek	FRU
비슈케크, 키르기스스탄	마나스 국제공항	FRU
비슈케크, 키르기스스탄	Manas Intl	FRU
프란시스타운, 보츠와나	프랜시스타운 국제공항	FRW
피가리, 프랑스	Figari-Sud Corse	FSC
피가리, 프랑스	피가리 쉬드-코르스 공항	FSC
수폴스, SD, 미국	Joe Foss Field	FSD
수폴스, SD, 미국	조포스필드공항	FSD
수폴스, SD, 미국	Sioux Falls Regional	FSD
포트스미스, AR, 미국	포트스미스지역공항	FSM
포트스미스, AR, 미국	Fort Smith	FSM
Saint-Pierre, Overseas collectivity of Saint Pierre and Miquelon	St Pierre	FSP
세인트 피에르, Saint Pierre and Miquelon	생피에르 공항	FSP
세인트 피에르, SPM	생피에르 공항	FSP
세인트 피에르, 생피에르미클롱	생피에르 공항	FSP
시즈오카, 일본	시즈오카 공항	FSZ
시즈오카, 일본	Mt Fuji Shizuoka	FSZ
Futuna Island, 바누아투	푸투나 에어포트	FTA
엘 칼라파테, 아르헨티나	엘칼라파테국제공항	FTE
Taolagnaro, Madagascar	Marillac	FTU
톨라나로, 마다가스카르	톨라나로 공항	FTU
푸에르토델로사리오, 스페인	푸에르테벤투라공항	FUE
푸양, 중국	Fuyang	FUG
Goto, Japan	Fukue	FUJ
고토, 일본	후쿠에공항	FUJ
고토, 일본	Fukue	FUJ
후쿠오카, Japan	후쿠오카공항	FUK
후쿠오카, JPN	후쿠오카공항	FUK
후쿠오카, 일본	후쿠오카공항	FUK
Funafuti, Tuvalu	Funafuti Atol	FUN
푸나푸티, 투발루	Funafuti Atol	FUN
푸나푸티, 투발루	푸나푸티 국제공항	FUN
포산, 중국	Foshan Shadi	FUO
포산, 중국	포산 사디 에어포트	FUO
Leava, WLF	푸앵트벨 공항	FUT
Leava, 월리스푸투나	푸앵트벨 공항	FUT
푸바물라, 몰디브	Fuvahmulah	FVM
포트웨인, IN, 미국	포트웨인 국제공항	FWA
포트웨인, IN, 미국	Fort Wayne	FWA
Fuyuan, 중국	Fuyuan Dongji	FYJ
포트 유콘, AK, 미국	포트 유콘 에어포트	FYU
포트 유콘, AK, 미국	Fort Yukon	FYU
가베스, 튀니지	가베스-마트마타 인터내셔널 에어포트	GAE
가프사, 튀니지	크사르 인터내셔널 에어포트	GAF
Yamagata, Japan	Junmachi	GAJ
야마가타, 일본	야마가타공항	GAJ
야마가타, 일본	Junmachi	GAJ
Galena, AK, 미국	에드워드 G. 핏카 시니어 에어포트	GAL
Gambell, AK, 미국	갬벨 에어포트	GAM
Addu City, 몰디브	간 국제공항	GAN
Addu City, 몰디브	Gan/Seenu	GAN
Guantánamo, 쿠바	Los Canos	GAO
가우하티, 인도	로크프리야 고피나스 보르돌로이 국제공항	GAU
가우하티, 인도	Lokpriya Gopinath Bordoloi Intl	GAU
가우하티, 인도	Guwahati Intl	GAU
가야, 인도	가야 에어포트	GAY
Qutqashen, Azerbaijan	Gabala Intl	GBB
가발라, 아제르바이잔	Gabala Intl	GBB
그레이트 벤드, KS, 미국	그레이트벤드공항	GBD
가보로네, Botswana	세레체카마경 국제공항	GBE
가보로네, BWA	세레체카마경 국제공항	GBE
가보로네, 보츠와나	Gaborone Intl	GBE
가보로네, 보츠와나	세레체카마경 국제공항	GBE
가보로네, 보츠와나	Sir Seretse Khama	GBE
Gulbarga, India	Kalaburagi	GBI
칼부르기, 인도	Kalaburagi	GBI
Gorgān, 이란	Gorgan	GBT
그레이트배리어 아일랜드, 뉴질랜드	그레이트 배리어 에어드롬	GBZ
질레트, WY, 미국	질레트캠벨카운티공항	GCC
Dogonbadan, Iran	Gachsaran	GCH
Gachsaran, 이란	Gachsaran	GCH
세인트피터포트, GGY	건지 공항	GCI
세인트피터포트, 건지	건지 공항	GCI
세인트피터포트, 건지	Guernsey	GCI
가든시티, KS, 미국	Garden City Mnpl	GCK
가든시티, KS, 미국	가든시트시립공항	GCK
George Town, Cayman Islands	Owen Roberts Intl	GCM
조지 타운, Cayman Islands	오웬 로버츠 국제공항	GCM
조지 타운, CYM	오웬 로버츠 국제공항	GCM
조지 타운, 케이맨 제도	오웬 로버츠 국제공항	GCM
조지 타운, 케이맨 제도	Owen Roberts Intl	GCM
그랜드 캐니언 빌리지, AZ, 미국	그랜드 캐니언 내셔널 파크 에어포트	GCN
Meadview, AZ	Grand Canyon West	GCW
메드뷰, AZ, 미국	그랜드 캐니언 웨스트 에어포트	GCW
고데, 에티오피아	고드 에어포트	GDE
고데, 에티오피아	Gode/Iddidole	GDE
과달라하라, 멕시코	과달라하라국제공항	GDL
과달라하라, 멕시코	Miguel Hidal	GDL
그단스크, 폴란드	Gdańsk Lech Wałęsa	GDN
그단스크, 폴란드	렘비에호보공항	GDN
그단스크, 폴란드	Rebiechowo	GDN
곤다르, 에티오피아	곤다르 에어포트	GDQ
콕크번타운, 터크스 케이커스 제도	JAGS 매카트니 인터내셔널 에어포트	GDT
Glendive, MT	Mont Dawson	GDV
글렌다이브, MT, 미국	Mont Dawson	GDV
글렌다이브, MT, 미국	도슨 커뮤니티 에어포트	GDV
마가단, 러시아	소콜 에어포트	GDX
겔렌지크, 러시아	겔렌지크 에어포트	GDZ
겔렌지크, 러시아	Gelendzik	GDZ
Noumea, New Caledonia	Magenta	GEA
누메아, 뉴칼레도니아	누메아공항	GEA
누메아, 뉴칼레도니아	Magenta	GEA
스포캔, WA, 미국	스포케인국제공항	GEG
스포캔, WA, 미국	Spokane	GEG
산토 안헬로, 브라질	산투안젤루 에어포트	GEL
산토 안헬로, 브라질	Sepé Tiaraju	GEL
Mongomo, 적도기니	President Obiang Nguema Intl	GEM
조지타운, Guyana	체디자간국제공항	GEO
조지타운, 가이아나	체디자간국제공항	GEO
조지타운, 가이아나	Cheddi Jagan Intl	GEO
Nueva Gerona, 쿠바	Rafael Cabrera	GER
제너럴 산토스, 필리핀	Buayan	GES
제너럴 산토스, 필리핀	제너럴산토스국제공항	GES
제럴턴, WA, 호주	Geraldton	GET
제럴턴, WA, 호주	제럴드톤공항	GET
갈리바레, 스웨덴	갈리바레공항	GEV
그리피스, NSW, 호주	그리피스 에어포트	GFF
그리피스, NSW, 호주	Griffith	GFF
그랜드 포크스, ND, 미국	그랜드포크국제공항	GFK
그래프턴, NSW, 호주	클라렌스 밸리 리저널 에어포트	GFN
롱뷰, 텍사스주, 미국	이스트 텍사스 리저널 에어포트	GGG
롱뷰, 텍사스주, 미국	East Texas Regional	GGG
Garoe, 소말리아	Garoe	GGR
조지타운, 바하마	Exuma Intl	GGT
